"Toyota Innova Crysta 2.4 ZX MT, 2021, Diesel","₹ 25,25,000"
"Mercedes-Benz SLK-Class SLK 350, 2014, Petrol","₹ 46,00,000"
"Mercedes-Benz GLC Class 220 D 4 MATIC, 2019, Diesel","₹ 66,00,000"
Ford Fiesta Classic 2012,"₹ 1,60,000"
Maruti Suzuki Ritz 2009 Diesel,"₹ 2,20,000"
"Toyota Corolla Altis 2010-2013 Diesel D4DG, 2010, Diesel","₹ 4,85,000"
"Maruti Suzuki Swift Dzire VDI, 2010, Diesel","₹ 2,55,000"
"Maruti Suzuki Zen Estilo LX BSIV, 2002, Petrol","₹ 75,000"
"Hyundai Creta 1.6 EX Petrol, 2016, Petrol","₹ 7,45,000"
"Maruti Suzuki Vitara Brezza ZDi, 2016, Diesel","₹ 6,90,000"
"Maruti Suzuki Ritz VXi, 2013, Petrol","₹ 3,10,000"
Ford Figo 2010 Diesel 82000 Km Driven,"₹ 1,40,000"
"Tata Nexon, 2020","₹ 8,65,000"
"Toyota Innova 2.5 G (Diesel) 7 Seater, 2015, Diesel","₹ 9,50,000"
"Maruti Suzuki Alto K10 LXI, 2010, Petrol","₹ 2,10,000"
"Volkswagen Passat 2010-2014 Diesel Comfortline 2.0 TDI, 2012, Diesel","₹ 7,49,000"
"Renault KWID RXL, 2019, Petrol","₹ 3,59,000"
"Fiat Linea Active, 2012, Diesel","₹ 2,49,000"
"Hyundai i20 Asta 1.4 CRDI 6 Speed, 2015, Diesel","₹ 6,80,000"
"Maruti Suzuki Alto 800 VXI Plus Option, 2017, Petrol","₹ 2,98,000"
"Maruti Suzuki Wagon R LXI BS IV, 2018, Petrol","₹ 4,15,000"
Hyundai Grand i10 2017 Petrol Well Maintained,"₹ 3,35,000"
"Maruti Suzuki Alto 800 LXI, 2018, Petrol","₹ 2,95,000"
BMW 5 Series 2009 Diesel,"₹ 2,95,000"
Toyota Innova 2011 Diesel,"₹ 7,50,000"
"Jeep Compass 1.4 Limited Option, 2017, Petrol","₹ 15,00,000"
"Maruti Suzuki Wagon R 1.0 VXi, 2018, Petrol","₹ 4,75,000"
"Maruti Suzuki Wagon R VXI 1.2, 2019, Petrol","₹ 5,25,000"
"Ford Fiesta, 2010, Diesel","₹ 1,30,000"
"Maruti Suzuki Wagon R LXI, 2010, Petrol","₹ 2,35,000"
"Hyundai EON Era +, 2017, Petrol","₹ 2,50,000"
"Mahindra Xylo D2 BS III, 2010, Diesel","₹ 1,90,000"
"Maruti Suzuki Vitara Brezza VDi Option, 2017, Diesel","₹ 7,48,000"
"Hyundai Verna Fluidic 1.6 CRDi SX, 2016, Diesel","₹ 6,50,000"
"Ford Figo Diesel, 2012, Diesel","₹ 1,68,000"
"Mahindra Renault Logan 1.4 GL Petrol, 2008, Petrol","₹ 1,18,000"
"Volkswagen Polo 1.5 TDI Highline, 2017, Diesel","₹ 6,50,000"
"Maruti Suzuki Swift Dzire VDI, 2015, Diesel","₹ 4,39,000"
"Hyundai Elite i20 Sportz Plus CVT, 2019, Petrol","₹ 8,25,000"
"Hyundai EON Era +, 2016, Petrol","₹ 2,55,000"
